Product;Type;Month;Branch;Sales;Quantity;Visitors
Iced1kCoffee-Original;;01/01/25;Tabouk-Sultana Fran;9940.86708;1429;4289
ChocoChees bites;;01/01/25;Tabouk-Sultana Fran;2695.6515;310;4289
ADD CHOCOLATE d - .;;01/01/25;Tabouk-Sultana Fran;140.86953;81;4289
Add Pistachio d - .;;01/01/25;Tabouk-Sultana Fran;62.60868;36;4289
Cookies vanilla;;01/01/25;Tabouk-Sultana Fran;639.99984;92;4289
Choco Kunafa bites;;01/01/25;Tabouk-Sultana Fran;173.913;20;4289
Mini Pancake Cheese&Honey;;01/01/25;Tabouk-Sultana Fran;706.08678;58;4289
Coffee Latte M;;01/01/25;Tabouk-Sultana Fran;740.86938;71;4289
muffin chocolate;;01/01/25;Tabouk-Sultana Fran;148.69571;19;4289
iced caramel Mikatuo;;01/01/25;Tabouk-Sultana Fran;73.91305;5;4289
caramel Add d - .;;01/01/25;Tabouk-Sultana Fran;15.65217;9;4289
Iced Americano;;01/01/25;Tabouk-Sultana Fran;199.99995;23;4289
Oreo Frappe;;01/01/25;Tabouk-Sultana Fran;20.86956;2;4289
iced KarKade - L;;01/01/25;Tabouk-Sultana Fran;41.73912;3;4289
pudding;;01/01/25;Tabouk-Sultana Fran;864.34761;71;4289
vanilla ICE CREAM add d;;01/01/25;Tabouk-Sultana Fran;22.60869;13;4289
classic Mojito;;01/01/25;Tabouk-Sultana Fran;33.91305;3;4289
paper cup - 8oz;;01/01/25;Tabouk-Sultana Fran;3.47828;4;4289
Today Coffee M;;01/01/25;Tabouk-Sultana Fran;286.08712;47;4289
BlackCoffee-M;;01/01/25;Tabouk-Sultana Fran;4408.69962;1014;4289
Chocolate Mini Pancake;;01/01/25;Tabouk-Sultana Fran;5088.69438;418;4289
Cookies crispy;;01/01/25;Tabouk-Sultana Fran;2958.26013;189;4289
Iced Coffee latte;;01/01/25;Tabouk-Sultana Fran;65.2174;5;4289
Add Lotus;;01/01/25;Tabouk-Sultana Fran;39.99999;23;4289
Red Huawei;;01/01/25;Tabouk-Sultana Fran;45.2174;4;4289
Blue Huawei;;01/01/25;Tabouk-Sultana Fran;101.73915;9;4289
Macchiato Double;;01/01/25;Tabouk-Sultana Fran;60.86955;5;4289
Today Coffee cold L;;01/01/25;Tabouk-Sultana Fran;34.7826;5;4289
Box filter special coffee / clomibia;;01/01/25;Tabouk-Sultana Fran;46.95651;3;4289
Iced White Mocha - L;;01/01/25;Tabouk-Sultana Fran;34.7826;2;4289
iced Cascara;;01/01/25;Tabouk-Sultana Fran;12.17391;1;4289
iced Spanish latte - L;;01/01/25;Tabouk-Sultana Fran;86.9565;5;4289
iced today coffee R;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Mineral water 600ml;;01/01/25;Tabouk-Sultana Fran;561.73899;323;4289
Black coffee XL;;01/01/25;Tabouk-Sultana Fran;1515.65304;249;4289
Iced White Mocha;;01/01/25;Tabouk-Sultana Fran;354.78264;24;4289
Flate white;;01/01/25;Tabouk-Sultana Fran;563.47812;54;4289
French Vanilla;;01/01/25;Tabouk-Sultana Fran;389.56512;32;4289
paper cup - 7OZ-2pcs;;01/01/25;Tabouk-Sultana Fran;14.78269;17;4289
Mocha M;;01/01/25;Tabouk-Sultana Fran;170.43474;14;4289
Affogato;;01/01/25;Tabouk-Sultana Fran;170.43474;14;4289
ADD Mojito Mix;;01/01/25;Tabouk-Sultana Fran;0;1;4289
Black Huawei;;01/01/25;Tabouk-Sultana Fran;33.91305;3;4289
Croissant-Cheese;;01/01/25;Tabouk-Sultana Fran;485.21758;62;4289
paper cup - 16oz;;01/01/25;Tabouk-Sultana Fran;3.47828;4;4289
Strawberry Mini Pancake;;01/01/25;Tabouk-Sultana Fran;60.86955;5;4289
Belgian Waffle;;01/01/25;Tabouk-Sultana Fran;13.91304;2;4289
Ice tea peach - L;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Waffle chocolate;;01/01/25;Tabouk-Sultana Fran;0;0;4289
1k Play Card;;01/01/25;Tabouk-Sultana Fran;17.3913;1;4289
Hot Chocolate - M;;01/01/25;Tabouk-Sultana Fran;4591.30496;352;4289
cappuccino M;;01/01/25;Tabouk-Sultana Fran;1335.65184;128;4289
Saudi Coffee M;;01/01/25;Tabouk-Sultana Fran;139.13056;32;4289
Espresso - Single;;01/01/25;Tabouk-Sultana Fran;382.6086;55;4289
Crunchy;;01/01/25;Tabouk-Sultana Fran;1556.52135;179;4289
san sebastian Cheese Cake;;01/01/25;Tabouk-Sultana Fran;1643.47785;105;4289
Extra shot Espreso;;01/01/25;Tabouk-Sultana Fran;100.86954;58;4289
cappuccino L;;01/01/25;Tabouk-Sultana Fran;260.8696;20;4289
Moroccan Tea - cup;;01/01/25;Tabouk-Sultana Fran;52.17396;12;4289
White Mocha M;;01/01/25;Tabouk-Sultana Fran;182.60872;14;4289
coffee Latte L;;01/01/25;Tabouk-Sultana Fran;104.34784;8;4289
Today Coffee L;;01/01/25;Tabouk-Sultana Fran;556.5216;80;4289
Caramel Latte;;01/01/25;Tabouk-Sultana Fran;65.2174;5;4289
Honey cake;;01/01/25;Tabouk-Sultana Fran;16.52174;1;4289
كريمة;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Thermos cup - 50%OFF - .;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Today Coffee cold M;;01/01/25;Tabouk-Sultana Fran;6.08696;1;4289
Iced V60 coffee;;01/01/25;Tabouk-Sultana Fran;3492.17304;251;4289
Iced Spanish Latte;;01/01/25;Tabouk-Sultana Fran;1153.04358;78;4289
French coffee M;;01/01/25;Tabouk-Sultana Fran;477.39149;61;4289
karak Tea With Milk;;01/01/25;Tabouk-Sultana Fran;377.39152;62;4289
iced Matcha;;01/01/25;Tabouk-Sultana Fran;753.91311;51;4289
Iced Pistachio Latte;;01/01/25;Tabouk-Sultana Fran;147.8261;10;4289
1k Box - S;;01/01/25;Tabouk-Sultana Fran;208.69566;6;4289
Cold Brew 200gm;;01/01/25;Tabouk-Sultana Fran;469.5651;27;4289
Tea-steam M;;01/01/25;Tabouk-Sultana Fran;10.4348;4;4289
Chocolate sauce box;;01/01/25;Tabouk-Sultana Fran;15.65217;3;4289
Amricamo -XL;;01/01/25;Tabouk-Sultana Fran;20.86956;2;4289
Turkish Coffee - singl;;01/01/25;Tabouk-Sultana Fran;375.65232;48;4289
Americano - L;;01/01/25;Tabouk-Sultana Fran;139.1304;16;4289
Milk add;;01/01/25;Tabouk-Sultana Fran;8.69565;5;4289
KALITA;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Spanish Latte - M;;01/01/25;Tabouk-Sultana Fran;1010.43453;83;4289
Espresso - Double;;01/01/25;Tabouk-Sultana Fran;438.26076;42;4289
sahlab with nuts;;01/01/25;Tabouk-Sultana Fran;991.3041;95;4289
Belgain choco Waffle;;01/01/25;Tabouk-Sultana Fran;373.91295;43;4289
Mini Pancake ice cream;;01/01/25;Tabouk-Sultana Fran;125.21736;9;4289
Iced French Vanilla;;01/01/25;Tabouk-Sultana Fran;73.91305;5;4289
Mojito strawberry;;01/01/25;Tabouk-Sultana Fran;45.2174;4;4289
ICED Chemex;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Black Coffee - L;;01/01/25;Tabouk-Sultana Fran;2170.43424;416;4289
V60 coffee;;01/01/25;Tabouk-Sultana Fran;1984.34733;163;4289
chocolate Cookies;;01/01/25;Tabouk-Sultana Fran;424.34772;61;4289
Tiramisu Latte;;01/01/25;Tabouk-Sultana Fran;300.00004;23;4289
Turkish Coffee - Double;;01/01/25;Tabouk-Sultana Fran;440.00012;46;4289
Tea cup;;01/01/25;Tabouk-Sultana Fran;160.86971;37;4289
Iced KarKade;;01/01/25;Tabouk-Sultana Fran;657.39114;63;4289
cortado;;01/01/25;Tabouk-Sultana Fran;365.2173;35;4289
Mini Waffle;;01/01/25;Tabouk-Sultana Fran;104.34784;8;4289
Iced Tea Peach;;01/01/25;Tabouk-Sultana Fran;229.56516;22;4289
1k Box L;;01/01/25;Tabouk-Sultana Fran;173.91304;4;4289
Granola;;01/01/25;Tabouk-Sultana Fran;73.04346;7;4289
green tea- cub;;01/01/25;Tabouk-Sultana Fran;17.39132;4;4289
Fettu Waffle;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Spanish Latte - L;;01/01/25;Tabouk-Sultana Fran;203.47821;13;4289
Vanilla Add;;01/01/25;Tabouk-Sultana Fran;5.21739;3;4289
Lemon-Mint;;01/01/25;Tabouk-Sultana Fran;26.08696;2;4289
Nuts Donut;;01/01/25;Tabouk-Sultana Fran;20.86956;3;4289
Matcha Latte;;01/01/25;Tabouk-Sultana Fran;69.5652;5;4289
Americano M;;01/01/25;Tabouk-Sultana Fran;173.913;25;4289
Orange juice;;01/01/25;Tabouk-Sultana Fran;52.17392;4;4289
Iced Mocha;;01/01/25;Tabouk-Sultana Fran;219.13038;18;4289
Add sauces mix;;01/01/25;Tabouk-Sultana Fran;55.65216;16;4289
hazelnuts Add d - .;;01/01/25;Tabouk-Sultana Fran;76.52172;44;4289
American1k- 250gm - .;;01/01/25;Tabouk-Sultana Fran;306.08688;16;4289
Donut Double Chocolate;;01/01/25;Tabouk-Sultana Fran;278.2608;40;4289
Croissant Plain;;01/01/25;Tabouk-Sultana Fran;54.78263;7;4289
Frappuccino - caramel;;01/01/25;Tabouk-Sultana Fran;146.08692;12;4289
Blue Mojito;;01/01/25;Tabouk-Sultana Fran;79.13045;7;4289
Macchiato;;01/01/25;Tabouk-Sultana Fran;177.39126;17;4289
saudi coffee L;;01/01/25;Tabouk-Sultana Fran;70.43481;9;4289
Box filter special coffee / Ethiobian;;01/01/25;Tabouk-Sultana Fran;31.30434;2;4289
Today Coffee;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Iced1kCoffee-Original;;01/01/25;Tbouk-alBowady Fran;13871.30088;1994;5439
pudding;;01/01/25;Tbouk-alBowady Fran;523.47813;43;5439
ChocoChees bites;;01/01/25;Tbouk-alBowady Fran;2808.69495;323;5439
Cookies vanilla;;01/01/25;Tbouk-alBowady Fran;459.13032;66;5439
ADD CHOCOLATE d - .;;01/01/25;Tbouk-alBowady Fran;158.26083;91;5439
Iced Americano;;01/01/25;Tbouk-alBowady Fran;173.913;20;5439
Coffee Latte M;;01/01/25;Tbouk-alBowady Fran;594.78246;57;5439
iced KarKade - L;;01/01/25;Tbouk-alBowady Fran;250.43472;18;5439
paper cup - 8oz;;01/01/25;Tbouk-alBowady Fran;11.30441;13;5439
Mini Pancake Cheese&Honey;;01/01/25;Tbouk-alBowady Fran;194.78256;16;5439
vanilla ICE CREAM add d;;01/01/25;Tbouk-alBowady Fran;10.43478;6;5439
Oreo Frappe;;01/01/25;Tbouk-alBowady Fran;41.73912;4;5439
caramel Add d - .;;01/01/25;Tbouk-alBowady Fran;6.95652;4;5439
iced caramel Mikatuo;;01/01/25;Tbouk-alBowady Fran;147.8261;10;5439
muffin chocolate;;01/01/25;Tbouk-alBowady Fran;23.47827;3;5439
classic Mojito;;01/01/25;Tbouk-alBowady Fran;101.73915;9;5439
Add Pistachio d - .;;01/01/25;Tbouk-alBowady Fran;17.3913;10;5439
Today Coffee M;;01/01/25;Tbouk-alBowady Fran;109.56528;18;5439
BlackCoffee-M;;01/01/25;Tbouk-alBowady Fran;4800.00432;1104;5439
Chocolate Mini Pancake;;01/01/25;Tbouk-alBowady Fran;8107.82406;666;5439
Today Coffee cold L;;01/01/25;Tbouk-alBowady Fran;153.04344;22;5439
Cookies crispy;;01/01/25;Tbouk-alBowady Fran;3568.69476;228;5439
iced Cascara;;01/01/25;Tbouk-alBowady Fran;182.60865;15;5439
Iced Coffee latte;;01/01/25;Tbouk-alBowady Fran;91.30436;7;5439
iced Spanish latte - L;;01/01/25;Tbouk-alBowady Fran;608.6955;35;5439
Macchiato Double;;01/01/25;Tbouk-alBowady Fran;85.21737;7;5439
Red Huawei;;01/01/25;Tbouk-alBowady Fran;33.91305;3;5439
Iced White Mocha - L;;01/01/25;Tbouk-alBowady Fran;17.3913;1;5439
Box filter special coffee / clomibia;;01/01/25;Tbouk-alBowady Fran;31.30434;2;5439
xl saudi coffee;;01/01/25;Tbouk-alBowady Fran;22.6087;2;5439
Add Lotus;;01/01/25;Tbouk-alBowady Fran;6.95652;4;5439
Blue Huawei;;01/01/25;Tbouk-alBowady Fran;11.30435;1;5439
saiphon ceylon tea;;01/01/25;Tbouk-alBowady Fran;0;0;5439
iced today coffee R;;01/01/25;Tbouk-alBowady Fran;0;0;5439
Mineral water 600ml;;01/01/25;Tbouk-alBowady Fran;448.69554;258;5439
Mocha M;;01/01/25;Tbouk-alBowady Fran;279.99993;23;5439
Iced White Mocha;;01/01/25;Tbouk-alBowady Fran;606.08701;41;5439
Black coffee XL;;01/01/25;Tbouk-alBowady Fran;1363.47904;224;5439
1k Play Card;;01/01/25;Tbouk-alBowady Fran;86.9565;5;5439
Flate white;;01/01/25;Tbouk-alBowady Fran;897.39108;86;5439
Croissant-Cheese;;01/01/25;Tbouk-alBowady Fran;109.56526;14;5439
Ice tea peach - L;;01/01/25;Tbouk-alBowady Fran;24.34782;2;5439
Affogato;;01/01/25;Tbouk-alBowady Fran;255.65211;21;5439
Original coffee bag 250G;;01/01/25;Tbouk-alBowady Fran;688.69548;36;5439
French Vanilla;;01/01/25;Tbouk-alBowady Fran;243.4782;20;5439
paper cup - 7OZ-2pcs;;01/01/25;Tbouk-alBowady Fran;6.95656;8;5439
ADD Mojito Mix;;01/01/25;Tbouk-alBowady Fran;0;9;5439
Belgian Waffle;;01/01/25;Tbouk-alBowady Fran;48.69564;7;5439
paper cup - 16oz;;01/01/25;Tbouk-alBowady Fran;1.73914;2;5439
Black Huawei;;01/01/25;Tbouk-alBowady Fran;22.6087;2;5439
Hot Chocolate - M;;01/01/25;Tbouk-alBowady Fran;4121.73968;316;5439
san sebastian Cheese Cake;;01/01/25;Tbouk-alBowady Fran;1659.13002;106;5439
Espresso - Single;;01/01/25;Tbouk-alBowady Fran;556.5216;80;5439
Extra shot Espreso;;01/01/25;Tbouk-alBowady Fran;78.26085;45;5439
cappuccino M;;01/01/25;Tbouk-alBowady Fran;1867.82562;179;5439
cappuccino L;;01/01/25;Tbouk-alBowady Fran;286.95656;22;5439
Crunchy;;01/01/25;Tbouk-alBowady Fran;1504.34745;173;5439
White Mocha M;;01/01/25;Tbouk-alBowady Fran;130.4348;10;5439
Saudi Coffee M;;01/01/25;Tbouk-alBowady Fran;182.60886;42;5439
Steam Tea - L;;01/01/25;Tbouk-alBowady Fran;65.21745;15;5439
Today Coffee cold M;;01/01/25;Tbouk-alBowady Fran;73.04352;12;5439
coffee Latte L;;01/01/25;Tbouk-alBowady Fran;117.39132;9;5439
Caramel Latte;;01/01/25;Tbouk-alBowady Fran;65.2174;5;5439
Moroccan Tea - cup;;01/01/25;Tbouk-alBowady Fran;13.04349;3;5439
Today Coffee L;;01/01/25;Tbouk-alBowady Fran;76.52172;11;5439
كريمة;;01/01/25;Tbouk-alBowady Fran;1.73913;1;5439
karak Tea With Milk;;01/01/25;Tbouk-alBowady Fran;846.08744;139;5439
Iced Spanish Latte;;01/01/25;Tbouk-alBowady Fran;1803.47842;122;5439
French coffee M;;01/01/25;Tbouk-alBowady Fran;1001.73952;128;5439
Iced V60 coffee;;01/01/25;Tbouk-alBowady Fran;4285.21632;308;5439
Cold Brew 200gm;;01/01/25;Tbouk-alBowady Fran;1773.9126;102;5439
Tea-steam M;;01/01/25;Tbouk-alBowady Fran;166.9568;64;5439
iced Matcha;;01/01/25;Tbouk-alBowady Fran;886.9566;60;5439
1k Box - S;;01/01/25;Tbouk-alBowady Fran;208.69566;6;5439
Iced Pistachio Latte;;01/01/25;Tbouk-alBowady Fran;147.8261;10;5439
juice cup - .;;01/01/25;Tbouk-alBowady Fran;0.86957;1;5439
Chocolate sauce box;;01/01/25;Tbouk-alBowady Fran;5.21739;1;5439
Stroopwafel;;01/01/25;Tbouk-alBowady Fran;0;0;5439
Belgain choco Waffle;;01/01/25;Tbouk-alBowady Fran;426.08685;49;5439
Mojito strawberry;;01/01/25;Tbouk-alBowady Fran;135.6522;12;5439
Espresso - Double;;01/01/25;Tbouk-alBowady Fran;490.43466;47;5439
sahlab with nuts;;01/01/25;Tbouk-alBowady Fran;563.47812;54;5439
Spanish Latte - M;;01/01/25;Tbouk-alBowady Fran;1107.82581;91;5439
Turkish Coffee - singl;;01/01/25;Tbouk-alBowady Fran;328.69578;42;5439
Americano - L;;01/01/25;Tbouk-alBowady Fran;165.21735;19;5439
Mini Pancake ice cream;;01/01/25;Tbouk-alBowady Fran;153.04344;11;5439
Milk add;;01/01/25;Tbouk-alBowady Fran;10.43478;6;5439
ICED Chemex;;01/01/25;Tbouk-alBowady Fran;0;0;5439
Black Coffee - L;;01/01/25;Tbouk-alBowady Fran;2519.99937;483;5439
Iced Tea Peach;;01/01/25;Tbouk-alBowady Fran;208.6956;20;5439
Iced KarKade;;01/01/25;Tbouk-alBowady Fran;1346.08662;129;5439
chocolate Cookies;;01/01/25;Tbouk-alBowady Fran;493.91292;71;5439
V60 coffee;;01/01/25;Tbouk-alBowady Fran;1375.65183;113;5439
cortado;;01/01/25;Tbouk-alBowady Fran;845.21718;81;5439
Spanish Latte - L;;01/01/25;Tbouk-alBowady Fran;359.99991;23;5439
Turkish Coffee - Double;;01/01/25;Tbouk-alBowady Fran;516.52188;54;5439
Tiramisu Latte;;01/01/25;Tbouk-alBowady Fran;495.65224;38;5439
1k Box L;;01/01/25;Tbouk-alBowady Fran;260.86956;6;5439
Vanilla Add;;01/01/25;Tbouk-alBowady Fran;8.69565;5;5439
Mini Waffle;;01/01/25;Tbouk-alBowady Fran;195.6522;15;5439
Tea cup;;01/01/25;Tbouk-alBowady Fran;8.69566;2;5439
Matcha Latte;;01/01/25;Tbouk-alBowady Fran;41.73912;3;5439
Nuts Donut;;01/01/25;Tbouk-alBowady Fran;34.7826;5;5439
Granola;;01/01/25;Tbouk-alBowady Fran;10.43478;1;5439
Lemon-Mint;;01/01/25;Tbouk-alBowady Fran;26.08696;2;5439
green tea- cub;;01/01/25;Tbouk-alBowady Fran;8.69566;2;5439
Americano M;;01/01/25;Tbouk-alBowady Fran;250.43472;36;5439
Frappuccino - caramel;;01/01/25;Tbouk-alBowady Fran;121.7391;10;5439
hazelnuts Add d - .;;01/01/25;Tbouk-alBowady Fran;83.47824;48;5439
Blue Mojito;;01/01/25;Tbouk-alBowady Fran;124.34785;11;5439
Croissant Plain;;01/01/25;Tbouk-alBowady Fran;86.08699;11;5439
Macchiato;;01/01/25;Tbouk-alBowady Fran;166.95648;16;5439
Iced Mocha;;01/01/25;Tbouk-alBowady Fran;438.26076;36;5439
saudi coffee L;;01/01/25;Tbouk-alBowady Fran;78.2609;10;5439
Add sauces mix;;01/01/25;Tbouk-alBowady Fran;309.56514;89;5439
Donut Double Chocolate;;01/01/25;Tbouk-alBowady Fran;173.913;25;5439
American1k- 250gm - .;;01/01/25;Tbouk-alBowady Fran;172.17387;9;5439
Orange juice;;01/01/25;Tbouk-alBowady Fran;104.34784;8;5439
Box filter special coffee / Ethiobian;;01/01/25;Tbouk-alBowady Fran;46.95651;3;5439
Today Coffee;;01/01/25;Tbouk-alBowady Fran;0;0;5439
caramel Add d - .;;01/01/25;Khobash Fran;50.43477;29;2660
ChocoChees bites;;01/01/25;Khobash Fran;591.3042;68;2660
Iced1kCoffee-Original;;01/01/25;Khobash Fran;4737.39012;681;2660
Coffee Latte M;;01/01/25;Khobash Fran;417.3912;40;2660
Mini Pancake Cheese&Honey;;01/01/25;Khobash Fran;669.56505;55;2660
Iced Americano;;01/01/25;Khobash Fran;173.913;20;2660
ADD CHOCOLATE d - .;;01/01/25;Khobash Fran;206.95647;119;2660
iced KarKade - L;;01/01/25;Khobash Fran;55.65216;4;2660
iced caramel Mikatuo;;01/01/25;Khobash Fran;88.69566;6;2660
Cookies vanilla;;01/01/25;Khobash Fran;132.17388;19;2660
paper cup - 8oz;;01/01/25;Khobash Fran;8.6957;10;2660
classic Mojito;;01/01/25;Khobash Fran;79.13045;7;2660
pudding;;01/01/25;Khobash Fran;839.99979;69;2660
vanilla ICE CREAM add d;;01/01/25;Khobash Fran;12.17391;7;2660
Add Pistachio d - .;;01/01/25;Khobash Fran;10.43478;6;2660
muffin chocolate;;01/01/25;Khobash Fran;31.30436;4;2660
Choco Kunafa bites;;01/01/25;Khobash Fran;52.1739;6;2660
Today Coffee M;;01/01/25;Khobash Fran;6.08696;1;2660
Oreo Frappe;;01/01/25;Khobash Fran;10.43478;1;2660
BlackCoffee-M;;01/01/25;Khobash Fran;2569.56753;591;2660
iced Spanish latte - L;;01/01/25;Khobash Fran;69.5652;4;2660
Chocolate Mini Pancake;;01/01/25;Khobash Fran;3919.99902;322;2660
Red Huawei;;01/01/25;Khobash Fran;135.6522;12;2660
Macchiato Double;;01/01/25;Khobash Fran;24.34782;2;2660
Iced White Mocha - L;;01/01/25;Khobash Fran;69.5652;4;2660
Cookies crispy;;01/01/25;Khobash Fran;939.1302;60;2660
Iced Coffee latte;;01/01/25;Khobash Fran;91.30436;7;2660
iced Cascara;;01/01/25;Khobash Fran;48.69564;4;2660
Tea latte;;01/01/25;Khobash Fran;6.08696;1;2660
Box filter special coffee / clomibia;;01/01/25;Khobash Fran;46.95651;3;2660
Today Coffee cold L;;01/01/25;Khobash Fran;6.95652;1;2660
Add Lotus;;01/01/25;Khobash Fran;3.47826;2;2660
Blue Huawei;;01/01/25;Khobash Fran;0;0;2660
iced today coffee R;;01/01/25;Khobash Fran;7.82609;1;2660
saiphon ceylon tea;;01/01/25;Khobash Fran;0;0;2660
Mineral water 600ml;;01/01/25;Khobash Fran;300.86949;173;2660
Croissant-Cheese;;01/01/25;Khobash Fran;320.86969;41;2660
Affogato;;01/01/25;Khobash Fran;353.04339;29;2660
Black coffee XL;;01/01/25;Khobash Fran;517.3916;85;2660
French Vanilla;;01/01/25;Khobash Fran;73.04346;6;2660
Mocha M;;01/01/25;Khobash Fran;12.17391;1;2660
Flate white;;01/01/25;Khobash Fran;219.13038;21;2660
1k Play Card;;01/01/25;Khobash Fran;173.913;10;2660
Iced White Mocha;;01/01/25;Khobash Fran;325.21742;22;2660
1k Espresso 250G;;01/01/25;Khobash Fran;0;0;2660
ADD Mojito Mix;;01/01/25;Khobash Fran;0;6;2660
paper cup - 7OZ-2pcs;;01/01/25;Khobash Fran;12.17398;14;2660
Belgian Waffle;;01/01/25;Khobash Fran;6.95652;1;2660
Ice tea peach - L;;01/01/25;Khobash Fran;36.52173;3;2660
Waffle chocolate;;01/01/25;Khobash Fran;0;0;2660
Strawberry Mini Pancake;;01/01/25;Khobash Fran;12.17391;1;2660
san sebastian Cheese Cake;;01/01/25;Khobash Fran;2019.12993;129;2660
Extra shot Espreso;;01/01/25;Khobash Fran;201.73908;116;2660
cappuccino M;;01/01/25;Khobash Fran;1085.21712;104;2660
Crunchy;;01/01/25;Khobash Fran;713.0433;82;2660
Hot Chocolate - M;;01/01/25;Khobash Fran;639.13052;49;2660
cappuccino L;;01/01/25;Khobash Fran;286.95656;22;2660
Espresso - Single;;01/01/25;Khobash Fran;389.56512;56;2660
coffee Latte L;;01/01/25;Khobash Fran;208.69568;16;2660
White Mocha M;;01/01/25;Khobash Fran;65.2174;5;2660
Thermos cup - 50%OFF - .;;01/01/25;Khobash Fran;127.8261;3;2660
كريمة;;01/01/25;Khobash Fran;3.47826;2;2660
Today Coffee L;;01/01/25;Khobash Fran;6.95652;1;2660
Steam Tea - L;;01/01/25;Khobash Fran;4.34783;1;2660
Moroccan Tea - cup;;01/01/25;Khobash Fran;8.69566;2;2660
Iced V60 coffee;;01/01/25;Khobash Fran;2852.1732;205;2660
Iced Pistachio Latte;;01/01/25;Khobash Fran;73.91305;5;2660
French coffee M;;01/01/25;Khobash Fran;266.08706;34;2660
Iced Spanish Latte;;01/01/25;Khobash Fran;2099.13062;142;2660
iced Matcha;;01/01/25;Khobash Fran;857.39138;58;2660
karak Tea With Milk;;01/01/25;Khobash Fran;146.08704;24;2660
1k Box - S;;01/01/25;Khobash Fran;626.08698;18;2660
Tea-steam M;;01/01/25;Khobash Fran;166.9568;64;2660
Cold Brew 200gm;;01/01/25;Khobash Fran;399.9999;23;2660
juice cup - .;;01/01/25;Khobash Fran;1.73914;2;2660
Spanish Latte - M;;01/01/25;Khobash Fran;1034.78235;85;2660
Belgain choco Waffle;;01/01/25;Khobash Fran;426.08685;49;2660
Turkish Coffee - singl;;01/01/25;Khobash Fran;109.56526;14;2660
Espresso - Double;;01/01/25;Khobash Fran;793.04328;76;2660
Mojito strawberry;;01/01/25;Khobash Fran;474.7827;42;2660
sahlab with nuts;;01/01/25;Khobash Fran;135.65214;13;2660
ICED Chemex;;01/01/25;Khobash Fran;27.82608;2;2660
Americano - L;;01/01/25;Khobash Fran;60.86955;7;2660
Iced French Vanilla;;01/01/25;Khobash Fran;14.78261;1;2660
Milk add;;01/01/25;Khobash Fran;10.43478;6;2660
Amricamo -XL;;01/01/25;Khobash Fran;0;0;2660
Mini Pancake ice cream;;01/01/25;Khobash Fran;0;0;2660
Black Coffee - L;;01/01/25;Khobash Fran;2013.91254;386;2660
Spanish Latte - L;;01/01/25;Khobash Fran;766.95633;49;2660
Iced KarKade;;01/01/25;Khobash Fran;1377.39096;132;2660
Turkish Coffee - Double;;01/01/25;Khobash Fran;105.21742;11;2660
chocolate Cookies;;01/01/25;Khobash Fran;257.39124;37;2660
V60 coffee;;01/01/25;Khobash Fran;681.73896;56;2660
Tiramisu Latte;;01/01/25;Khobash Fran;104.34784;8;2660
green tea- cub;;01/01/25;Khobash Fran;52.17396;12;2660
cortado;;01/01/25;Khobash Fran;239.99994;23;2660
Iced Tea Peach;;01/01/25;Khobash Fran;166.95648;16;2660
Tea cup;;01/01/25;Khobash Fran;0;0;2660
1k Box L;;01/01/25;Khobash Fran;347.82608;8;2660
Mini Waffle;;01/01/25;Khobash Fran;117.39132;9;2660
Lemon-Mint;;01/01/25;Khobash Fran;26.08696;2;2660
Granola;;01/01/25;Khobash Fran;31.30434;3;2660
Matcha Latte;;01/01/25;Khobash Fran;27.82608;2;2660
American1k- 250gm - .;;01/01/25;Khobash Fran;669.56505;35;2660
hazelnuts Add d - .;;01/01/25;Khobash Fran;46.95651;27;2660
Box filter special coffee / Ethiobian;;01/01/25;Khobash Fran;62.60868;4;2660
Iced Mocha;;01/01/25;Khobash Fran;340.86948;28;2660
Blue Mojito;;01/01/25;Khobash Fran;734.78275;65;2660
Americano M;;01/01/25;Khobash Fran;153.04344;22;2660
Orange juice;;01/01/25;Khobash Fran;130.4348;10;2660
Frappuccino - caramel;;01/01/25;Khobash Fran;219.13038;18;2660
Donut Double Chocolate;;01/01/25;Khobash Fran;146.08692;21;2660
Add sauces mix;;01/01/25;Khobash Fran;114.78258;33;2660
Croissant Plain;;01/01/25;Khobash Fran;46.95654;6;2660
Macchiato;;01/01/25;Khobash Fran;20.86956;2;2660
saudi coffee L;;01/01/25;Khobash Fran;7.82609;1;2660
Iced1kCoffee-Original;;01/01/25;Makkah-ZAIDI Fran;4013.91204;577;2499
Today Coffee M;;01/01/25;Makkah-ZAIDI Fran;0;0;2499
Cookies vanilla;;01/01/25;Makkah-ZAIDI Fran;431.30424;62;2499
ChocoChees bites;;01/01/25;Makkah-ZAIDI Fran;1130.4345;130;2499
pudding;;01/01/25;Makkah-ZAIDI Fran;121.7391;10;2499
paper cup - 8oz;;01/01/25;Makkah-ZAIDI Fran;8.6957;10;2499
Coffee Latte M;;01/01/25;Makkah-ZAIDI Fran;260.8695;25;2499
muffin chocolate;;01/01/25;Makkah-ZAIDI Fran;203.47834;26;2499
